pos_cDC1_over_B_2x,pos_cDC1_vs_Mo_Macro_1.5x,pos_cDC1_vs_neutro_3x,pos_cDC1_vs_non_immune_2x,pos_cDC1_vs_pDC_2x,pos_cDC1_vs_T_NK_3x,pos_cDC1_vs_cDC2_global
Fmnl2,Strip2,H2-Aa,Flt3,Id2,Flt3,Ttc39a
Tbc1d8,Flt3,Flt3,Mpeg1,Cxcl16,Tbc1d8,Met
Cxcl16,Il12b,Slamf7,Itga4,Ly75,Fmnl2,Gpr33
Rgs1,Ap1s3,Cxcl16,Selplg,P3h2,Adam23,Bst1
Fam129a,Ttc39a,Tbc1d9,Ptprc,Cd9,Tbc1d9,Pbx1
Strip2,Rab30,Rgs1,Myo1g,Adam8,P3h2,Mpzl2
Id2,Gpr33,Adam23,Slamf7,Rab32,Csf2rb,Irf8
P3h2,Serpinb6b,Npm1,Gpr141b,Cd81,Shtn1,Cadm1
Adam23,Lrba,Strip2,Tyrobp,Strip2,Cxcl16,Igf2r
Adam8,Strbp,P3h2,Tbc1d9,Fgl2,Gpr141b,Zdhhc2
Gpr141b,Zbtb46,Slc9a7,Nckap1l,Nav1,Fscn1,Laptm4b
Nav1,Adcy6,Dnase1l3,Hck,Ttc39b,Strip2,Cd24a
Dusp1,Jak2,Fyn,Cytip,Crybg1,Lacc1,Mospd1
Shtn1,Trim7,Cd74,Rgs1,Met,Met,Gnb4
Rab32,Mtmr4,H2-Eb1,Spi1,Tbc1d9,Cyp27a1,Plpp1
Flt3,Rabgap1l,Ccdc88a,P2ry10,Asap1,Il12b,P3h2
Dock7,,Irf8,Arhgap30,Il12b,Spi1,Endod1
Met,,Cblb,Ap1s3,Cd83,Dnase1l3,Dnmbp
Parp12,,Poglut1,Slc46a3,Gpr141b,Pbx1,
Il12b,,Cd2ap,Dock2,Bcl2a1a,Rab32,
Rnf144b,,Dpp4,Dock8,Sema4a,Slc46a3,
Il13ra1,,Ifi30,Rgs10,Lima1,Irf5,
Ccdc88a,,Slc46a3,Ly86,Adam23,Dock7,
Arrdc4,,P2ry10,Gpr65,Nck2,Rab30,
Pak1,,Nav1,Naip6,St3gal5,Zc3h12c,
Phactr2,,Gm5424,Gpr33,Anxa1,Nav1,
Fnip2,,Il6st,Ifi209,Parp12,Ctsh,
Fnbp1l,,Shtn1,Gm15931,Fnbp1l,Lima1,
Lima1,,Rpl3-ps2,Cd48,Hck,Nek6,
Itpripl2,,Slc25a4,Mir142,Rnf144b,Rassf4,
Ttc39a,,Scpep1,Il12b,Nectin1,Adam8,
Pik3cb,,Fscn1,Nup210,Tspan33,Cst3,
Sema4a,,Ddhd1,Arhgap45,Arhgap31,,
Sdc3,,Dock7,Pirb,Gm6226,,
Apol7c,,Dock10,Glipr1,Marcksl1,,
Prr5l,,Gramd3,Tlr11,Arhgap26,,
Pmaip1,,Wdr43,Arhgap15,Ctnnd1,,
Tspan33,,Nup93,Psd4,Pde8a,,
Adap2,,Rgs10,Cd83,Sh3bp1,,
Cpne2,,H2-Ab1,Taok3,Ralb,,
Ccl5,,Limd1,Coro2a,Bcl2a1c,,
Nostrin,,Cyp27a1,Evi2a,Dusp1,,
Pbx1,,Ly86,Tyk2,Pfkfb3,,
Anxa3,,Ide,Trpv2,Fscn1,,
Bmpr2,,Nsmaf,Ucp2,Cd86,,
Cpq,,Serpinb6b,Grk3,Zfp366,,
Fscn1,,Rftn1,Vav1,Rab11fip1,,
Nek6,,Ccr7,Rnase6,Tubb6,,
Gpr33,,Cd83,Sh3bp1,Slc22a21,,
Zbtb46,,Il12b,Akna,Grk5,,
Tlr11,,Gm6087,Pik3r5,Slamf7,,
Ccnd1,,Serpinb9,Dennd1c,Zbtb46,,
Sh3bp1,,Rras2,Naip5,Rab31,,
Fyb,,Ece1,Il10ra,Ccr7,,
Etv6,,Prdx2,Btk,Shtn1,,
Aif1,,Rpl36a,Map4k1,Dock7,,
Rnf180,,Tbc1d4,Pira2,Anxa3,,
Nectin1,,Lrba,Pik3cb,Hnrnpll,,
Zfp366,,Plekho1,Aim2,Pbx1,,
Frmd4a,,St6gal1,Rassf5,Itga1,,
Gpr157,,Zfp318,Ankrd44,Arpin,,
App,,Cbfa2t3,Fgd2,Nabp1,,
Prkra,,Fchsd2,Lsp1,Adcy6,,
Alpk1,,Mink1,,Smagp,,
Cyp27a1,,Dpy19l1,,Tlr11,,
Il12rb2,,Flnb,,Serpinb9,,
Rtl8c,,Tasor2,,Il15,,
Trf,,mt-Nd5,,Myof,,
Sulf2,,Grk3,,Ccser1,,
Nr4a3,,Snd1,,Epb41l2,,
Arpin,,Gm15500,,Gm9847,,
Serpinb9,,Gm4332,,Igf2r,,
Slc22a21,,Apol7c,,Aif1,,
Cst3,,Clic4,,Osbpl3,,
Cmtm3,,Hsf2,,Mtmr4,,
Ctnna1,,Rpsa-ps9,,Gm11545,,
Tyrobp,,Prcp,,Pak1,,
Ccser1,,Phf11a,,Sulf2,,
Arhgef40,,Crip1,,Batf3,,
Tcf7l2,,Rpl10a-ps1,,Mpzl2,,
Dock5,,Cdon,,Bcl6,,
Myo9a,,Eif3e,,Ttc39a,,
Enpp4,,Selenow,,Fam129a,,
Ppm1h,,Rab30,,Asap2,,
Prkch,,Isoc1,,Gpr33,,
Ifi205,,BX908741.1,,Spi1,,
Selplg,,Rtcb,,Poglut1,,
Mpeg1,,Ap1s3,,Pmaip1,,
Gusb,,Chd9,,Ctbp2,,
Sowahc,,Spata5,,Alms1,,
Gm9847,,Thoc1,,Ubash3b,,
Ctbp2,,Arhgap12,,Arhgef40,,
Slc46a3,,Ccl5,,Cdkn1a,,
Gpr68,,Ncoa7,,Cd80,,
Synj1,,Gm10052,,Rala,,
Batf3,,Tlr11,,Atp2b1,,
Hnrnpll,,Zfp442,,Dock5,,
Mpzl2,,Ctnnd1,,Lpcat1,,
Itm2c,,Lrrk1,,Tiam1,,
Cttnbp2nl,,Lrrcc1,,Ddhd1,,
,,Map4k5,,Sh3pxd2b,,
,,Gm6736,,Serpinb6b,,
,,Specc1l,,Pdlim5,,
,,Id2,,Vim,,
,,Rsl1d1,,Rab30,,
,,Ttc39a,,Lfng,,
,,Dek,,Cd24a,,
,,Gm11826,,Marcks,,
,,Eif2a,,Tnfaip2,,
,,Zdhhc21,,C9orf72,,
,,Tspan3,,Trps1,,
,,Nudc,,Jag1,,
,,Aif1,,Etv3,,
,,,,Mab21l3,,
